asset_id,token_name,as_of_date,price_in_usd
0,ALGO,2022-01-04,1.7909051224659271
0,ALGO,2022-01-05,1.6746200751836664
0,ALGO,2022-01-06,1.5625031151599535
0,ALGO,2022-01-07,1.5684599493153348
0,ALGO,2022-01-08,1.441527993620403
0,ALGO,2022-01-09,1.3883032535609787
0,ALGO,2022-01-10,1.4046208599409389
0,ALGO,2022-01-11,1.3700007291468204
0,ALGO,2022-01-12,1.4445380900310203
0,ALGO,2022-01-13,1.494465908231084
0,ALGO,2022-01-14,1.3595865361587156
0,ALGO,2022-01-15,1.385137138909479
0,ALGO,2022-01-16,1.382227403740091
0,ALGO,2022-01-17,1.4311004852516336
0,ALGO,2022-01-18,1.350681612536625
0,ALGO,2022-01-19,1.3184638781340712
0,ALGO,2022-01-20,1.2678365276366454
0,ALGO,2022-01-21,1.1733310986033303
0,ALGO,2022-01-22,1.029298415779094
0,ALGO,2022-01-23,0.9521629870514644
0,ALGO,2022-01-24,0.9893040325081852
0,ALGO,2022-01-25,0.92210147776497
0,ALGO,2022-01-26,0.9341905519439894
0,ALGO,2022-01-27,0.928237654953668
0,ALGO,2022-01-28,0.9397365841341576
0,ALGO,2022-01-29,0.9579207008927022
0,ALGO,2022-01-30,0.9696734003711736
0,ALGO,2022-01-31,0.9454279365774728
0,ALGO,2022-02-01,0.9531818134994756
0,ALGO,2022-02-02,0.9679513445496046
0,ALGO,2022-02-03,0.9268713777561136
0,ALGO,2022-02-04,0.9319687212496222
0,ALGO,2022-02-05,1.000256898796354
0,ALGO,2022-02-06,1.0036376806945846
0,ALGO,2022-02-07,1.0254133213071603
0,ALGO,2022-02-08,1.0711831589797058
0,ALGO,2022-02-09,1.0276171947946648
0,ALGO,2022-02-10,1.038785069739097
0,ALGO,2022-02-11,0.9815001363638444
0,ALGO,2022-02-12,0.9163256597843276
0,ALGO,2022-02-13,0.9184852812440384
0,ALGO,2022-02-14,0.9000419002238893
0,ALGO,2022-02-15,0.9006196009000791
0,ALGO,2022-02-16,0.9715193457545086
0,ALGO,2022-02-17,0.981570727267665
0,ALGO,2022-02-18,0.896895505474999
0,ALGO,2022-02-19,0.8971532543995359
0,ALGO,2022-02-20,0.9011684038702414
0,ALGO,2022-02-21,0.847506648048089
0,ALGO,2022-02-22,0.7866121006590627
0,ALGO,2022-02-23,0.8115818060364286
0,ALGO,2022-02-24,0.7888601575126841
0,ALGO,2022-02-25,0.777228753881192
0,ALGO,2022-02-26,0.8298758397375874
0,ALGO,2022-02-27,0.8573291964636179
0,ALGO,2022-02-28,0.7978447451034419
0,ALGO,2022-03-01,0.8680997770448723
0,ALGO,2022-03-02,0.8554029107567046
0,ALGO,2022-03-03,0.8186909324654641
0,ALGO,2022-03-04,0.7984044128956764
0,ALGO,2022-03-05,0.7594223350300073
0,ALGO,2022-03-06,0.7741770042226367
0,ALGO,2022-03-07,0.7482238283986039
0,ALGO,2022-03-08,0.7323421412131972
0,ALGO,2022-03-09,0.7387351522661039
